"text","emotion"
"I feel very stressed with my exams","stress"
"I am overwhelmed with my workload","stress"
"Too many responsibilities are pressuring me","stress"
"I feel constant pressure to perform well","stress"
"Deadlines are making me anxious and tired","stress"
"I feel mentally overloaded with tasks","stress"
"I am burned out from continuous work","stress"
"Work pressure affects my peace of mind","stress"
"I feel tense all the time","stress"
"I struggle to manage stress daily","stress"
"Stress makes it hard to concentrate","stress"
"I feel exhausted due to stress","stress"
"My workload is suffocating me","stress"
"I can’t seem to catch a break","stress"
"I am mentally drained from work","stress"
"Everyday stress feels unbearable","stress"
"I feel like I’m constantly under pressure","stress"
"Stress makes me irritable","stress"
"I feel overwhelmed by responsibilities","stress"
"I can’t relax because of work","stress"
"My mind feels restless from all the stress","stress"
"I feel anxious when tasks pile up","stress"
"I can’t focus due to ongoing pressure","stress"
"Stress leaves me feeling fatigued","stress"
"My energy is drained by daily stress","stress"
"I feel pressured to meet every expectation","stress"
"I am constantly worried about deadlines","stress"
"I feel mentally tense","stress"
"I feel trapped by my responsibilities","stress"
"Stress makes me snap easily","stress"
"I feel like I have no breathing space","stress"
"My thoughts are consumed by stress","stress"
"I feel burdened by too many commitments","stress"
"I can’t enjoy free time due to stress","stress"
"Stress keeps me awake at night","stress"
"I feel emotionally strained","stress"
"My mind feels heavy from stress","stress"
"I feel under constant pressure","stress"
"I feel anxious and overwhelmed","stress"
"I feel mentally stretched thin","stress"
"I feel physically tense from stress","stress"
"I feel like I’m carrying too much","stress"
"Stress affects my mood constantly","stress"
"I feel mentally fatigued","stress"
"My body feels the tension from stress","stress"
"Stress makes me restless","stress"
"I feel weighed down by obligations","stress"
"I feel mentally exhausted and tense","stress"

"I feel happy and joyful today","happiness"
"I just got a puppy and I feel amazing","happiness"
"I am thrilled about my success","happiness"
"I feel cheerful and positive","happiness"
"My day is wonderful and I am smiling","happiness"

"I feel very happy today","happiness"
"I am extremely joyful","happiness"
"I feel great about my life","happiness"
"I received wonderful news","happiness"
"I am feeling cheerful and positive","happiness"
"I feel excited about today","happiness"
"I am in a really good mood","happiness"
"I feel grateful and happy","happiness"
"I am smiling a lot today","happiness"
"I feel proud of myself","happiness"
"I am enjoying every moment","happiness"
"I feel relaxed and happy","happiness"
"I am feeling optimistic","happiness"
"I feel light-hearted","happiness"
"I am feeling content","happiness"
"I feel happy because I achieved my goal","happiness"
"I am thrilled with the results","happiness"
"I feel positive energy around me","happiness"
